Reevaluate after: 9044 steps, with return 62.781799755467205
Reevaluate after: 9095 steps, with return 63.067976910926504
Reevaluate after: 9146 steps, with return 63.45843231138448
Reevaluate after: 9197 steps, with return 63.66412156141964
Reevaluate after: 9248 steps, with return 64.12324553923091
Reevaluate after: 9299 steps, with return 63.391028619865665
Reevaluate after: 9350 steps, with return 63.78132356027264
Reevaluate after: 9401 steps, with return 62.41995109128611
Reevaluate after: 9452 steps, with return 63.6730680896526
Reevaluate after: 9503 steps, with return 63.78982290165811
Reevaluate after: 9554 steps, with return 63.88318035851031
Reevaluate after: 9605 steps, with return 63.74650934432518
Reevaluate after: 9656 steps, with return 63.287262386472875
Reevaluate after: 9707 steps, with return 63.45005176117961
Reevaluate after: 9758 steps, with return 63.67483160250616
Improvement after: 9790 steps, with return 64.87166464881608, Elapsed: 7343.158903
Reevaluate after: 9841 steps, with return 64.94457209386917
Reevaluate after: 9892 steps, with return 64.97253314185545
Reevaluate after: 9943 steps, with return 64.51970117959061
Reevaluate after: 9994 steps, with return 64.60630350451437
Reevaluate after: 10045 steps, with return 63.87264638238283
Reevaluate after: 10096 steps, with return 64.73574519488079
Reevaluate after: 10147 steps, with return 64.79533958435658
Reevaluate after: 10198 steps, with return 64.6060120676181
Reevaluate after: 10249 steps, with return 64.24358054496516
Reevaluate after: 10300 steps, with return 64.35764769283072
Reevaluate after: 10351 steps, with return 64.18348323734784
Reevaluate after: 10402 steps, with return 64.92388347593928
Reevaluate after: 10453 steps, with return 64.61640647751267
Reevaluate after: 10504 steps, with return 65.23679951040053
Reevaluate after: 10555 steps, with return 64.74522604454478
Reevaluate after: 10606 steps, with return 63.86242343085995
Reevaluate after: 10657 steps, with return 64.47135298504493
Reevaluate after: 10708 steps, with return 64.7853297381826
Reevaluate after: 10759 steps, with return 64.76900200352372
Reevaluate after: 10810 steps, with return 64.65727083736395
Reevaluate after: 10861 steps, with return 63.51795785932349
Reevaluate after: 10912 steps, with return 64.73568949802987
Reevaluate after: 10963 steps, with return 63.9331714450464
Reevaluate after: 11014 steps, with return 65.65165254670751
Reevaluate after: 11065 steps, with return 64.44641630480866
Reevaluate after: 11116 steps, with return 64.59707038317718
Reevaluate after: 11167 steps, with return 64.77873485656724
Reevaluate after: 11218 steps, with return 64.98070095115835
Reevaluate after: 11269 steps, with return 65.04628108145376
Reevaluate after: 11320 steps, with return 64.56848739968424
Reevaluate after: 11371 steps, with return 64.63420141888687
Reevaluate after: 11422 steps, with return 64.42461812658254
Reevaluate after: 11473 steps, with return 64.93088573188729
Reevaluate after: 11524 steps, with return 64.42640233663214
Reevaluate after: 11575 steps, with return 64.4069705292567
Reevaluate after: 11626 steps, with return 64.7932183459142
Reevaluate after: 11677 steps, with return 64.70319215626654
Reevaluate after: 11728 steps, with return 64.29076380557777
Reevaluate after: 11779 steps, with return 64.38814079834556
Reevaluate after: 11830 steps, with return 64.50512978111465
Reevaluate after: 11881 steps, with return 64.73732051207098
Reevaluate after: 11932 steps, with return 64.43271411892373
Reevaluate after: 11983 steps, with return 64.67060243193116
Reevaluate after: 12034 steps, with return 64.32807322557794
Reevaluate after: 12085 steps, with return 64.63947402295062
Reevaluate after: 12136 steps, with return 64.64279263192375
Reevaluate after: 12187 steps, with return 64.82979226153876
Reevaluate after: 12238 steps, with return 63.90674799021576
Reevaluate after: 12289 steps, with return 64.5244463776841
Reevaluate after: 12340 steps, with return 64.37152300052644
Reevaluate after: 12391 steps, with return 64.52291491810246
Reevaluate after: 12442 steps, with return 62.89019172216331
Reevaluate after: 12493 steps, with return 63.430218614895125
Reevaluate after: 12544 steps, with return 64.89926055861862
Reevaluate after: 12595 steps, with return 65.13356237361133
Reevaluate after: 12646 steps, with return 64.49793889958525
Reevaluate after: 12697 steps, with return 65.01343093895355
Improvement after: 12702 steps, with return 65.07445725930671, Elapsed: 9599.116233
Reevaluate after: 12753 steps, with return 63.618943037261076
Reevaluate after: 12804 steps, with return 63.76545428118921
Reevaluate after: 12855 steps, with return 64.48556155695178
Reevaluate after: 12906 steps, with return 63.625960969934184
Reevaluate after: 12957 steps, with return 64.38550998390757
Reevaluate after: 13008 steps, with return 62.50150701641964
Reevaluate after: 13059 steps, with return 64.47645258810667
Reevaluate after: 13110 steps, with return 65.50723894571362
Reevaluate after: 13161 steps, with return 64.56190060536251
Reevaluate after: 13212 steps, with return 63.56913216551552
Reevaluate after: 13263 steps, with return 63.993345262883125
Reevaluate after: 13314 steps, with return 64.27325882220114
Reevaluate after: 13365 steps, with return 63.941091094514185
Reevaluate after: 13416 steps, with return 64.69873975824167
Reevaluate after: 13467 steps, with return 64.8314499065938
Reevaluate after: 13518 steps, with return 63.65079005462494
Reevaluate after: 13569 steps, with return 64.54945067385546
Reevaluate after: 13620 steps, with return 64.16172338022257
Reevaluate after: 13671 steps, with return 65.45671472248333
Reevaluate after: 13722 steps, with return 63.61280858105012
Reevaluate after: 13773 steps, with return 63.47971414244368
Reevaluate after: 13824 steps, with return 63.98010301638406
Reevaluate after: 13875 steps, with return 63.244617681407455
Reevaluate after: 13926 steps, with return 63.74948559580184
Reevaluate after: 13977 steps, with return 65.30725763926772
Reevaluate after: 14028 steps, with return 64.87540925819403
Reevaluate after: 14079 steps, with return 63.85153755524176
Reevaluate after: 14130 steps, with return 65.32242017868705
Reevaluate after: 14181 steps, with return 63.52111011340751
Reevaluate after: 14232 steps, with return 64.99067708078339
Reevaluate after: 14283 steps, with return 65.00199283309033
Reevaluate after: 14334 steps, with return 63.74487960962732
Improvement after: 14351 steps, with return 64.23158717829702, Elapsed: 10859.042067
Reevaluate after: 14402 steps, with return 64.87911410080778
Reevaluate after: 14453 steps, with return 63.90751817796204
Reevaluate after: 14504 steps, with return 64.33702194999094
Reevaluate after: 14555 steps, with return 64.5958183406706
Reevaluate after: 14606 steps, with return 64.0413250552205
Reevaluate after: 14657 steps, with return 64.65676568636232
