Reevaluate after: 15038 steps, with return -572.480531617282
Reevaluate after: 15089 steps, with return 411.41474917490996
Reevaluate after: 15140 steps, with return 498.79546121378326
Reevaluate after: 15191 steps, with return 336.37988627890377
Reevaluate after: 15242 steps, with return -1269.2436141946737
Reevaluate after: 15293 steps, with return 56.86696723282059
Reevaluate after: 15344 steps, with return 379.0883218754157
Reevaluate after: 15395 steps, with return 988.0478365307936
Reevaluate after: 15446 steps, with return -1732.1393577502204
Reevaluate after: 15497 steps, with return 0.7573495933538357
Reevaluate after: 15548 steps, with return -5326.499044527984
Reevaluate after: 15599 steps, with return 164.77323552039903
Reevaluate after: 15650 steps, with return 541.1729954702048
Reevaluate after: 15701 steps, with return -39.741018357808535
Reevaluate after: 15752 steps, with return -37.27692016156694
Reevaluate after: 15803 steps, with return -41.09164319272152
Reevaluate after: 15854 steps, with return 1125.3491915935242
Reevaluate after: 15905 steps, with return -16.375194182060824
Reevaluate after: 15956 steps, with return 109.26891782554928
Reevaluate after: 16007 steps, with return -481.56457532620726
Reevaluate after: 16058 steps, with return -125.36169156758046
Reevaluate after: 16109 steps, with return -3.1932020594995367
Reevaluate after: 16160 steps, with return -18.74891886770688
Reevaluate after: 16211 steps, with return -41.78126269457363
Reevaluate after: 16262 steps, with return -5.392094919729276
Reevaluate after: 16313 steps, with return 38.73584308891681
Reevaluate after: 16364 steps, with return 381.9216387141719
Reevaluate after: 16415 steps, with return -42.06932639889664
Reevaluate after: 16466 steps, with return 412.4216011317606
Reevaluate after: 16517 steps, with return 398.24726303144934
Reevaluate after: 16568 steps, with return -1897.5518604601616
Reevaluate after: 16619 steps, with return -23.16863049166117
Reevaluate after: 16670 steps, with return 261.9457465266505
Reevaluate after: 16721 steps, with return 540.0759926249343
Reevaluate after: 16772 steps, with return 1217.658141766211
Reevaluate after: 16823 steps, with return -345.33918214799786
Reevaluate after: 16874 steps, with return 2127.9320079787262
Reevaluate after: 16925 steps, with return 178.84978615478312
Reevaluate after: 16976 steps, with return -5.513643320019208
Reevaluate after: 17027 steps, with return 147.4237677332335
Reevaluate after: 17078 steps, with return 453.5855659471981
Reevaluate after: 17129 steps, with return -21.592870320836067
Reevaluate after: 17180 steps, with return 1025.031874226695
Reevaluate after: 17231 steps, with return 399.7444867070879
Reevaluate after: 17282 steps, with return 136.87740689548497
Reevaluate after: 17333 steps, with return 98.54186317815164
Reevaluate after: 17384 steps, with return -88.45656225854248
Reevaluate after: 17435 steps, with return -763.9493229408812
Reevaluate after: 17486 steps, with return -89.39019806158771
Reevaluate after: 17537 steps, with return 1.721972526689282
Reevaluate after: 17588 steps, with return 361.76931707983226
Reevaluate after: 17639 steps, with return -0.7414620319443626
Reevaluate after: 17690 steps, with return 129.2000330410974
Reevaluate after: 17741 steps, with return 291.1601777547917
Reevaluate after: 17792 steps, with return 430.4120428929074
Reevaluate after: 17843 steps, with return -524.8290445718412
Reevaluate after: 17894 steps, with return -25.611128332468287
Reevaluate after: 17945 steps, with return 273.3985498407311
Reevaluate after: 17996 steps, with return 471.13530375182063
Reevaluate after: 18047 steps, with return -24.052807976039524
Reevaluate after: 18098 steps, with return 1332.6511196710708
Reevaluate after: 18149 steps, with return -1121.1051169034731
Reevaluate after: 18200 steps, with return -30.759029479630943
Reevaluate after: 18251 steps, with return -17.104008141225545
Reevaluate after: 18302 steps, with return 112.83840035168676
Reevaluate after: 18353 steps, with return 3.452001903093173
Reevaluate after: 18404 steps, with return -4334.306636673207
Reevaluate after: 18455 steps, with return 924.8278954253353
Reevaluate after: 18506 steps, with return -211.67127036746706
Reevaluate after: 18557 steps, with return 96.2571537879792
Reevaluate after: 18608 steps, with return 9.222099487184144
Reevaluate after: 18659 steps, with return 190.1700011337671
Reevaluate after: 18710 steps, with return -250.22586235459613
Reevaluate after: 18761 steps, with return -849.9976945094895
Reevaluate after: 18812 steps, with return 684.0777875605836
Reevaluate after: 18863 steps, with return -64.06910470313376
Reevaluate after: 18914 steps, with return -267.274559572309
Reevaluate after: 18965 steps, with return -6.281787309086812
Reevaluate after: 19016 steps, with return 1226.5396067017875
Reevaluate after: 19067 steps, with return -4.902555647145308
Reevaluate after: 19118 steps, with return -566.1402471275982
Reevaluate after: 19169 steps, with return -3057.9364634809635
Reevaluate after: 19220 steps, with return 2254.6675088249604
Reevaluate after: 19271 steps, with return -2.715667124359438
Reevaluate after: 19322 steps, with return 353.7328350824322
Reevaluate after: 19373 steps, with return 191.08063740767142
Reevaluate after: 19424 steps, with return 9.550954991209291
Reevaluate after: 19475 steps, with return 139.08359780626944
Reevaluate after: 19526 steps, with return -2.6883735456165554
Reevaluate after: 19577 steps, with return -311.18815372967566
Reevaluate after: 19628 steps, with return -27.602821185467093
Reevaluate after: 19679 steps, with return -23.476998851553027
Reevaluate after: 19730 steps, with return -29.51388803513994
Reevaluate after: 19781 steps, with return -2.319937761735647
Reevaluate after: 19832 steps, with return 206.21200081757098
Reevaluate after: 19883 steps, with return -109.42936958319024
Reevaluate after: 19934 steps, with return -215.4234394355144
Reevaluate after: 19985 steps, with return 1.5161199092675903
Total steps done: 20000
