0;1;2;3;4;5;6;7;8;9;10;
-70.0905;351.687;-71.3928;-72.481;-68.1889;-54.3684;-70.1684;-69.2198;-78.334;-66.1987;-53.1187;
-69.765;-69.8801;-25.2486;782.333;-41.4514;-41.2254;1780.56;-70.6389;-68.5578;-52.0318;-46.3807;
-70.0905;-69.8801;-16.7234;1002.76;-42.4132;-40.751;2408.67;-69.7171;-58.3553;-50.9507;-38.3717;
-70.0905;759.998;-47.1657;-74.1166;-58.766;-43.5127;-70.1684;-66.0261;-65.7969;-52.6582;-39.9458;
-70.0905;1155.1;-65.5417;-72.6171;-63.4086;-51.0332;-70.1684;-63.9532;-74.544;-62.9814;-49.068;
-70.0905;444.291;-71.8501;-72.4647;-68.088;-54.6914;-70.1684;-66.9268;-78.7124;-66.4675;-53.2432;
-68.3759;-69.8801;-25.36;456.981;-41.4476;-41.2425;1073.84;-70.6389;-68.8106;-52.0647;-46.4803;
-70.0905;-69.8801;-16.7147;1131.24;-42.2443;-40.7266;2707.84;-70.5565;-58.4066;-50.9227;-38.3952;
-70.0905;1547.61;-45.7912;-73.9555;-54.0053;-42.8817;-70.1684;-64.1451;-64.4316;-51.871;-39.6865;
-70.0905;2126.66;-62.9674;-72.3938;-57.2242;-49.9663;-70.1684;-59.9574;-72.7918;-61.9016;-48.6585;
-70.0905;1313.91;-69.012;-72.3113;-62.0565;-53.3146;-70.1684;-62.5732;-77.1014;-65.3707;-52.9665;
-70.0905;-69.8801;-24.746;1185.89;-42.2497;-41.2234;2665.4;-66.439;-67.6201;-51.9676;-45.8945;
-70.0905;-69.8801;-16.7389;1536.43;-42.859;-40.8364;3628.3;-67.6976;-58.1949;-51.0557;-38.2595;
-70.0905;872.457;-45.7821;-74.1894;-57.0065;-42.5058;-70.1684;-65.7684;-65.0928;-51.2713;-39.5651;
-70.0905;1477.72;-64.3078;-72.5608;-60.6639;-50.3125;-70.1684;-65.0124;-73.827;-62.2155;-48.7328;
-70.0905;395.375;-71.1955;-72.4752;-67.7932;-54.2009;-70.1684;-69.1912;-78.2845;-66.0621;-53.0836;
-69.1777;-69.8801;-25.2194;736.744;-41.4557;-41.2078;1683.23;-70.6389;-68.507;-52.0026;-46.3397;
-70.0905;-69.8801;-16.7175;916.549;-42.3959;-40.7499;2210.08;-69.8494;-58.317;-50.9487;-38.3622;
-70.0905;984.581;-47.1554;-74.0296;-57.6908;-43.6213;-70.1684;-65.5135;-65.5672;-52.8399;-39.9774;
-70.0905;1209.34;-65.3953;-72.6096;-63.2181;-51.0285;-70.1684;-62.7802;-74.3735;-62.9799;-49.0595;
-70.0905;340.393;-72.0105;-72.4894;-69.1023;-54.7662;-70.1684;-65.6407;-78.7037;-66.5154;-53.2395;
-69.5823;-69.8801;-25.3897;688.546;-41.4456;-41.2552;1574.07;-70.6389;-68.8635;-52.0862;-46.5171;
-70.0905;-69.8801;-16.7241;1327.21;-42.2872;-40.7295;3159.31;-70.2665;-58.4609;-50.9266;-38.4041;
-70.0905;1392;-45.533;-74.0403;-54.4487;-42.5812;-70.1684;-64.6167;-64.4836;-51.4372;-39.5975;
-70.0905;2014.34;-63.151;-72.437;-57.8372;-49.9432;-70.1684;-60.654;-72.9611;-61.8547;-48.6202;
-70.0905;1561.11;-68.5363;-72.227;-60.1299;-53.1036;-70.1684;-63.1541;-76.9366;-65.2164;-52.9503;
-70.0905;-69.8801;-24.5011;1081.45;-41.8578;-41.172;2445.95;-68.3925;-67.1305;-51.8943;-45.7529;
-70.0905;-69.8801;-16.6785;1426.74;-42.707;-40.838;3378.08;-68.8852;-57.7602;-51.0529;-38.2201;
-70.0905;1069.66;-45.7306;-74.1172;-56.0391;-42.6124;-70.1684;-65.6539;-64.7038;-51.4362;-39.5656;
-70.0905;1492.32;-64.2335;-72.5634;-60.7731;-50.3472;-70.1684;-63.9362;-73.6245;-62.2527;-48.7116;
-70.0905;376.946;-71.2939;-72.4869;-68.2607;-54.2678;-70.1684;-67.492;-78.2423;-66.1125;-53.0769;
-69.9386;-69.8801;-25.2314;905.783;-41.4549;-41.2179;2048.97;-70.6389;-68.5046;-52.0189;-46.3573;
-70.0905;-69.8801;-16.723;1044.82;-42.4265;-40.7537;2505.31;-69.6724;-58.3325;-50.9536;-38.3664;
-70.0905;1029.87;-46.6603;-74.0601;-56.9787;-43.2898;-70.1684;-65.8293;-65.291;-52.3786;-39.8466;
-70.0905;1130.7;-65.2703;-72.6327;-63.4803;-50.9039;-70.1684;-63.8722;-74.2501;-62.8328;-48.957;
-70.0905;306.922;-71.9975;-72.4911;-69.1047;-54.7163;-70.1684;-67.167;-78.6613;-66.4747;-53.2023;
-69.6843;-69.8801;-25.3848;800.675;-41.4465;-41.2498;1817.1;-70.6389;-68.8357;-52.0774;-46.5044;
-70.0905;-69.8801;-16.7265;1163.76;-42.3096;-40.7322;2781.56;-70.1511;-58.4574;-50.9295;-38.4014;
-70.0905;1108.9;-46.1973;-74.0718;-56.1115;-42.9817;-70.1684;-66.106;-65.0084;-51.9609;-39.7414;
-70.0905;1288;-64.7529;-72.6042;-62.2375;-50.6358;-70.1684;-64.0042;-73.9408;-62.5535;-48.8426;
-70.0905;242.888;-71.8112;-72.5049;-69.4135;-54.5609;-70.1684;-67.5315;-78.5086;-66.3437;-53.1464;
-69.6477;-69.8801;-25.3711;867.164;-41.4576;-41.2405;1961.9;-70.6389;-68.7694;-52.0608;-46.4736;
-70.0905;-69.8801;-16.7287;1105.63;-42.3371;-40.7365;2646.93;-70.0292;-58.4363;-50.9342;-38.3948;
-70.0905;1011.25;-46.4812;-74.0819;-56.8244;-43.1473;-70.1684;-66.2541;-65.2307;-52.1793;-39.803;
-70.0905;1077.75;-65.2749;-72.6469;-63.7387;-50.8675;-70.1684;-64.3833;-74.2444;-62.7856;-48.9242;
-70.0905;225.14;-72.1232;-72.502;-69.6167;-54.7473;-70.1684;-67.9631;-78.6988;-66.4938;-53.1938;
-69.1734;-69.8801;-25.4434;821.114;-41.4558;-41.2513;1860.66;-70.6389;-68.9122;-52.0815;-46.5345;
-70.0905;-69.8801;-16.7349;1059.27;-42.3163;-40.7296;2540.41;-70.0626;-58.507;-50.9266;-38.4098;
-70.0905;1083.9;-46.5303;-74.0534;-56.5689;-43.2139;-70.1684;-65.8749;-65.2142;-52.2814;-39.8303;
-70.0905;1170.89;-65.1316;-72.6277;-63.209;-50.8347;-70.1684;-63.6553;-74.1656;-62.7599;-48.928;
-70.0905;244.683;-72.0373;-72.5035;-69.5983;-54.7105;-70.1684;-66.9188;-78.6479;-66.4641;-53.1896;
-70.0905;-69.8801;-25.4005;853.975;-41.4513;-41.2519;1932.07;-70.6247;-68.8612;-52.081;-46.5158;
-70.0905;-69.8801;-16.7251;1221.02;-42.2836;-40.7289;2913.97;-70.2885;-58.4585;-50.9258;-38.4042;
-70.0905;940.875;-46.2351;-74.1229;-56.8076;-42.9312;-70.1684;-67.0135;-65.1573;-51.8729;-39.7314;
-70.0905;972.658;-65.3357;-72.6713;-64.2533;-50.8301;-70.1684;-65.5386;-74.2665;-62.7317;-48.88;
-70.0905;115.31;-72.2972;-72.5138;-70.2281;-54.7924;-70.1684;-69.7273;-78.7591;-66.5232;-53.1836;
-68.3861;-69.8801;-25.5238;599.855;-41.4689;-41.2527;1381.29;-70.6389;-69.0174;-52.0863;-46.5748;
-70.0905;-69.8801;-16.7496;902.142;-42.3492;-40.7282;2177.99;-69.803;-58.5886;-50.9252;-38.4212;
-70.0905;906.568;-47.3623;-74.058;-58.3811;-43.6896;-70.1684;-64.9231;-65.855;-52.9258;-40.0333;
-70.0905;1198.09;-65.5748;-72.6135;-63.4719;-51.0952;-70.1684;-62.2769;-74.5552;-63.0497;-49.112;
-70.0905;127.124;-72.4161;-72.5217;-70.8012;-54.9337;-70.1684;-65.2369;-78.8876;-66.6307;-53.2679;
-69.2925;-69.8801;-25.5355;891.615;-41.4596;-41.2704;2010.59;-70.6389;-69.1208;-52.1159;-46.6208;
-70.0624;-69.8801;-16.7317;1448.98;-42.1975;-40.712;3441.76;-70.6389;-58.5627;-50.9067;-38.4303;
-70.0905;1638.21;-44.8994;-73.9687;-52.5764;-42.2424;-70.1684;-64.9752;-63.9027;-51.0141;-39.481;
-70.0905;2124.7;-62.49;-72.4078;-56.8643;-49.6431;-70.1684;-60.9355;-72.3946;-61.519;-48.4454;
-70.0905;417.575;-70.499;-72.5171;-68.4347;-53.7842;-70.1684;-63.4212;-77.5701;-65.688;-52.9127;
-70.0905;-69.8801;-25.2045;1169.44;-41.9551;-41.2342;2620.61;-68.1021;-68.3254;-52.0175;-46.2338;
-70.0905;-69.8801;-16.7472;1554.35;-42.5433;-40.7756;3676.76;-69.0586;-58.3798;-50.9828;-38.3424;
-70.0905;1000.66;-45.5269;-74.1561;-56.0236;-42.3863;-70.1684;-66.2285;-64.8333;-51.1286;-39.5389;
-70.0905;1303.45;-64.5233;-72.6208;-62.0233;-50.3823;-70.1684;-64.4589;-73.8391;-62.2626;-48.6972;
-70.0905;309.263;-71.5872;-72.494;-68.7313;-54.374;-70.1684;-68.4203;-78.4136;-66.1961;-53.0872;
-69.0768;-69.8801;-25.3252;796.294;-41.4605;-41.2201;1810.43;-70.6389;-68.6676;-52.0263;-46.4154;
-70.0905;-69.8801;-16.732;933.984;-42.4049;-40.745;2250.3;-69.6955;-58.4158;-50.9434;-38.3816;
-70.0905;1108.69;-46.942;-74.0087;-56.948;-43.518;-70.1684;-65.1295;-65.3936;-52.7095;-39.9404;
-70.0905;1222.33;-65.2535;-72.6128;-63.1382;-50.9577;-70.1684;-62.5172;-74.2529;-62.9016;-49.0129;
-70.0905;253.098;-72.1079;-72.506;-69.8019;-54.7839;-70.1684;-65.3892;-78.6947;-66.5213;-53.2221;
-70.0905;-69.8801;-25.4394;983.032;-41.5502;-41.2677;2209.65;-70.069;-68.9524;-52.1032;-46.543;
-70.0905;-69.8801;-16.7469;1273.44;-42.3923;-40.7372;3033.31;-69.5844;-58.5894;-50.9368;-38.4121;
-70.0905;1365.87;-45.6283;-74.029;-54.4875;-42.6598;-70.1684;-65.2946;-64.5564;-51.5479;-39.6276;
-70.0905;1557.52;-63.9807;-72.5554;-60.5105;-50.2828;-70.1684;-62.7075;-73.4221;-62.1834;-48.6868;
-70.0905;254.197;-71.4583;-72.5166;-69.4496;-54.3263;-70.1684;-66.0061;-78.2314;-66.1467;-53.065;
-70.0905;-69.8801;-25.3465;1054.46;-41.681;-41.2452;2367.68;-69.4467;-68.6939;-52.056;-46.4132;
-70.0905;-69.8801;-16.751;1184.45;-42.4871;-40.7549;2826.24;-69.1836;-58.5151;-50.9574;-38.3831;
-70.0905;1024.77;-46.2895;-74.1035;-56.6607;-42.9876;-70.1684;-65.885;-65.1905;-51.9573;-39.7483;
-70.0905;1163.04;-65.0822;-72.6364;-63.2164;-50.7489;-70.1684;-63.9152;-74.1624;-62.6614;-48.8769;
-70.0905;211.635;-72.0569;-72.5079;-69.7647;-54.6804;-70.1684;-67.4137;-78.6565;-66.4376;-53.1714;
-69.6828;-69.8801;-25.4231;711.777;-41.4542;-41.2473;1624.47;-70.6389;-68.8876;-52.0744;-46.5201;
-70.0905;-69.8801;-16.7278;1152.14;-42.2827;-40.7272;2755.33;-70.2769;-58.4737;-50.9236;-38.4059;
-70.0905;1007.01;-46.3603;-74.0969;-56.7305;-43.049;-70.1684;-66.304;-65.1859;-52.0419;-39.7715;
-70.0905;1319.77;-64.7855;-72.5906;-61.9884;-50.6531;-70.1684;-64.2333;-74.0194;-62.5798;-48.8774;
-70.0905;211.455;-71.8282;-72.5079;-69.5685;-54.569;-70.1684;-67.8649;-78.541;-66.3486;-53.1586;
-69.3689;-69.8801;-25.3893;846.72;-41.4607;-41.241;1917.42;-70.6389;-68.8081;-52.0623;-46.4851;
-70.0905;-69.8801;-16.7305;1073.03;-42.3335;-40.7346;2571.83;-70.0256;-58.4573;-50.9321;-38.3978;
-70.0905;1038.59;-46.5511;-74.0683;-56.8005;-43.2083;-70.1684;-65.9835;-65.2537;-52.2673;-39.826;
-70.0905;1166.53;-65.1574;-72.6272;-63.2064;-50.8392;-70.1684;-63.8677;-74.1946;-62.7651;-48.9325;
-70.0905;212.386;-72.0812;-72.5072;-69.7877;-54.726;-70.1684;-67.235;-78.6709;-66.4746;-53.1923;
-69.5659;-69.8801;-25.4315;837.993;-41.4549;-41.2522;1897.19;-70.6389;-68.9007;-52.0825;-46.5304;
-70.0905;-69.8801;-16.7269;1220.8;-42.268;-40.7258;2913.76;-70.3561;-58.4732;-50.9221;-38.4082;
-70.0905;1081.35;-46.0835;-74.0916;-56.1075;-42.8782;-70.1684;-66.3111;-64.9774;-51.8145;-39.7089;
-70.0905;1347.02;-64.609;-72.5924;-61.8049;-50.5512;-70.1684;-64.0145;-73.8742;-62.4659;-48.8136;
-70.0905;198.2;-71.7946;-72.5134;-69.714;-54.5249;-70.1684;-67.529;-78.4837;-66.3103;-53.1319;
-69.3685;-69.8801;-25.3907;861.62;-41.465;-41.2382;1949.88;-70.6389;-68.7852;-52.0575;-46.4771;
-70.0905;-69.8801;-16.7268;1204.98;-42.304;-40.7325;2876.65;-70.2138;-58.4283;-50.9295;-38.396;
-70.0905;1126.4;-46.1004;-74.0813;-56.02;-42.9043;-70.1684;-65.753;-64.9586;-51.8531;-39.7136;
